name,address,Latitude,Longitude
西部地区運転免許センター,鳥取県米子市上福原1272-2,35.4434664,133.3529238
総合交通センター,山口県山口市小郡下郷3560-2,34.082951,131.3983003
運転免許センター,愛媛県松山市勝岡町1163-7,33.9029039,132.722633
運転免許センター,高知県吾川郡いの町枝川200番地,33.5537464,133.4482717
運転免許センター,香川県高松市郷東町587-138,34.351579,134.0169404
運転免許センター,徳島県板野郡松茂町満穂字満穂開拓1番地1,34.1384449,134.595047
福岡自動車運転免許試験場,福岡県福岡市南区花畑4丁目7番1号,33.5393331,130.4000624
北九州自動車運転免許試験場,福岡県北九州市小倉南区日の出町2丁目4-1,33.838586,130.8800866
筑後自動車運転免許試験場,福岡県筑後市大字久富1135-2,33.2219597,130.4946588
筑豊自動車運転免許試験場,福岡県飯塚市鶴三緒1518-1,33.6239503,130.6988359
自動車運転免許試験場,長崎県大村市古賀島町533-5,32.9259956,129.9416599
運転免許センター,佐賀県佐賀市久保泉町大字川久保2121-26,33.3248228,130.3177788
運転免許センター,熊本県菊池郡菊陽町大字辛川2655,32.8429713,130.8086254
運転免許センター,大分県大分市大字松岡6687番地,33.1879981,131.6499311
宮崎県総合自動車運転免許センター,宮崎県宮崎市阿波岐原町前浜4276-5,31.9306936,131.4614837
延岡運転免許センター,宮崎県延岡市大貫町1-2834,32.5786834,131.6566726
都城運転免許センター,宮崎県北諸県郡三股町大字宮村2944-3,31.7273968,131.0990353
運転免許試験場,鹿児島県姶良市東餅田3937,31.7169087,130.6363509
沖縄県警察運転免許センター,沖縄県豊見城市字豊崎3番22,26.1563038,127.6568537
安全運転学校 中部分校,沖縄県沖縄市南桃原4丁目27番22号,26.3281229,127.7800052
安全運転学校 北部分校,沖縄県名護市東江5丁目20番5号,26.6060398,127.9825133
安全運転学校 宮古分校,沖縄県宮古島市平良下里3107番地の4,24.7835165,125.3095561
安全運転学校 八重山分校,沖縄県石垣市字平得343番地の2,24.3381666,124.1770309
