code,population
N04_000," 2,301,996 "
N04_100," 1,096,704 "
N04_101," 311,590 "
N04_102," 196,732 "
N04_103," 141,475 "
N04_104," 234,758 "
N04_105," 212,149 "
N04_202," 140,151 "
N04_203," 52,203 "
N04_205," 61,147 "
N04_206," 32,758 "
N04_207," 78,718 "
N04_208," 27,976 "
N04_209," 62,827 "
N04_211," 44,068 "
N04_212," 76,037 "
N04_213," 64,637 "
N04_214," 39,098 "
N04_215," 127,330 "
N04_216," 51,651 "
N04_301," 11,418 "
N04_302," 1,262 "
N04_321," 23,571 "
N04_322," 10,666 "
N04_323," 38,271 "
N04_324," 8,345 "
N04_341," 12,262 "
N04_361," 33,087 "
N04_362," 12,046 "
N04_401," 13,323 "
N04_404," 18,132 "
N04_406," 35,182 "
N04_421," 28,786 "
N04_422," 7,813 "
N04_424," 5,849 "
N04_444," 6,698 "
N04_445," 21,943 "
N04_501," 15,388 "
N04_505," 23,994 "
N04_581," 6,430 "
N04_606," 12,225 "
N05_000," 959,502 "
N05_201," 307,672 "
N05_202," 49,968 "
N05_203," 85,555 "
N05_204," 69,237 "
N05_206," 25,154 "
N05_207," 42,091 "
N05_209," 29,088 "
N05_210," 74,707 "
N05_211," 31,720 "
N05_212," 77,657 "
N05_213," 30,198 "
N05_214," 23,435 "
N05_215," 24,610 "
N05_303," 4,780 "
N05_327," 2,063 "
N05_346," 2,896 "
N05_348," 15,254 "
N05_349," 6,577 "
N05_361," 8,538 "
N05_363," 5,583 "
N05_366," 4,566 "
N05_368," 3,011 "
N05_434," 18,613 "
N05_463," 13,825 "
N05_464," 2,704 "
N06_000," 1,068,027 "
N06_201," 247,590 "
N06_202," 81,252 "
N06_203," 122,347 "
N06_204," 100,273 "
N06_205," 34,432 "
N06_206," 40,189 "
N06_207," 29,110 "
N06_208," 22,516 "
N06_209," 26,543 "
N06_210," 62,140 "
N06_211," 47,682 "
N06_212," 14,971 "
N06_213," 30,420 "
N06_301," 13,725 "
N06_302," 10,746 "
N06_321," 17,641 "
N06_322," 4,956 "
N06_323," 6,366 "
N06_324," 7,646 "
N06_341," 6,577 "
N06_361," 5,071 "
N06_362," 8,080 "
N06_363," 5,007 "
N06_364," 7,203 "
N06_365," 3,028 "
N06_366," 3,902 "
N06_367," 4,199 "
N06_381," 22,463 "
N06_382," 14,558 "
N06_401," 7,107 "
N06_402," 12,890 "
N06_403," 6,613 "
N06_426," 7,601 "
N06_428," 20,151 "
N06_461," 13,032 "
N07_000," 1,833,152 "
N07_201," 282,693 "
N07_202," 117,376 "
N07_203," 327,692 "
N07_204," 332,931 "
N07_205," 59,491 "
N07_207," 74,992 "
N07_208," 44,760 "
N07_209," 34,865 "
N07_210," 53,557 "
N07_211," 35,169 "
N07_212," 59,005 "
N07_213," 58,240 "
N07_214," 30,236 "
N07_301," 11,459 "
N07_303," 8,639 "
N07_308," 12,170 "
N07_322," 8,900 "
N07_342," 12,318 "
N07_344," 5,194 "
N07_362," 5,264 "
N07_364, 504 
N07_367," 4,044 "
N07_368," 14,451 "
N07_402," 2,556 "
N07_405," 5,770 "
N07_407," 3,322 "
N07_408," 13,552 "
N07_421," 15,068 "
N07_422," 3,081 "
N07_423," 3,081 "
N07_444," 1,452 "
N07_445," 1,862 "
N07_446," 1,246 "
N07_447," 19,014 "
N07_461," 20,808 "
N07_464," 6,213 "
N07_465," 4,885 "
N07_466," 17,287 "
N07_481," 13,343 "
N07_482," 5,392 "
N07_483," 8,302 "
N07_484," 3,049 "
N07_501," 14,644 "
N07_502," 6,392 "
N07_503," 5,826 "
N07_504," 6,036 "
N07_505," 4,825 "
N07_521," 17,018 "
N07_522," 9,471 "
N07_541," 5,412 "
N07_542," 3,710 "
N07_543," 2,128 "
N07_544," 2,044 "
N07_545, 847 
N07_546,-
N07_547," 1,923 "
N07_548, 420 
N07_561," 7,905 "
N07_564," 1,318 "
N08_000," 2,867,009 "
N08_201," 270,685 "
N08_202," 174,508 "
N08_203," 142,074 "
N08_204," 139,344 "
N08_205," 73,061 "
N08_207," 50,645 "
N08_208," 76,420 "
N08_210," 42,521 "
N08_211," 60,834 "
N08_212," 48,602 "
N08_214," 27,699 "
N08_215," 41,801 "
N08_216," 73,173 "
N08_217," 104,524 "
N08_219," 84,651 "
N08_220," 241,656 "
N08_221," 156,581 "
N08_222," 66,950 "
N08_223," 27,604 "
N08_224," 68,421 "
N08_225," 39,267 "
N08_226," 53,502 "
N08_227," 100,753 "
N08_228," 52,265 "
N08_229," 39,039 "
N08_230," 40,087 "
N08_231," 39,122 "
N08_232," 95,454 "
N08_233," 32,185 "
N08_234," 45,953 "
N08_235," 49,872 "
N08_236," 48,870 "
N08_302," 31,401 "
N08_309," 15,715 "
N08_310," 18,097 "
N08_341," 37,891 "
N08_364," 15,736 "
N08_442," 14,602 "
N08_443," 48,553 "
N08_447," 8,231 "
N08_521," 21,026 "
N08_542," 8,093 "
N08_546," 24,201 "
N08_564," 15,340 "
N09_000," 1,933,146 "
N09_201," 518,757 "
N09_202," 144,746 "
N09_203," 155,549 "
N09_204," 116,228 "
N09_205," 94,033 "
N09_206," 77,661 "
N09_208," 166,666 "
N09_209," 78,190 "
N09_210," 72,087 "
N09_211," 31,165 "
N09_213," 115,210 "
N09_214," 44,513 "
N09_215," 24,875 "
N09_216," 59,507 "
N09_301," 30,806 "
N09_342," 21,898 "
N09_343," 11,891 "
N09_344," 11,262 "
N09_345," 14,961 "
N09_361," 39,474 "
N09_364," 24,913 "
N09_384," 10,354 "
N09_386," 29,229 "
N09_407," 23,956 "
N09_411," 15,215 "
N10_000," 1,939,110 "
N10_201," 332,149 "
N10_202," 372,973 "
N10_203," 106,445 "
N10_204," 211,850 "
N10_205," 223,014 "
N10_206," 45,337 "
N10_207," 75,309 "
N10_208," 74,581 "
N10_209," 63,261 "
N10_210," 47,446 "
N10_211," 54,907 "
N10_212," 49,648 "
N10_344," 14,216 "
N10_345," 21,792 "
N10_366," 1,128 "
N10_367," 1,645 "
N10_382," 6,576 "
N10_383," 1,611 "
N10_384," 12,491 "
N10_421," 15,386 "
N10_424," 5,095 "
N10_425," 8,850 "
N10_426," 6,049 "
N10_428," 3,511 "
N10_429," 12,728 "
N10_443," 3,993 "
N10_444," 3,480 "
N10_448," 6,953 "
N10_449," 17,195 "
N10_464," 36,054 "
N10_521," 14,083 "
N10_522," 10,882 "
N10_523," 10,861 "
N10_524," 42,089 "
N10_525," 25,522 "
N11_000," 7,344,765 "
N11_100," 1,324,025 "
N11_101," 93,499 "
N11_102," 149,242 "
N11_103," 117,784 "
N11_104," 165,049 "
N11_105," 103,269 "
N11_106," 98,661 "
N11_107," 164,822 "
N11_108," 191,563 "
N11_109," 128,321 "
N11_110," 111,815 "
N11_201," 354,571 "
N11_202," 194,415 "
N11_203," 594,274 "
N11_206," 78,617 "
N11_207," 59,674 "
N11_208," 342,464 "
N11_209," 80,361 "
N11_210," 111,623 "
N11_211," 78,569 "
N11_212," 91,791 "
N11_214," 229,792 "
N11_215," 148,699 "
N11_216," 52,862 "
N11_217," 116,828 "
N11_218," 141,268 "
